id,p_or_h,area,perimeter
1,p,1973.4,183.45
2,p,146.58,45.41
3,p,214.95,54.03
6,p,122.02,41.69
7,p,1151.38,182.64
8,p,138.59,44.71
9,p,483.74,80.07
11,p,397.16,77.81
12,p,230.82,56.04
13,p,261.4,63
14,p,176.27,51.42
15,p,411.85,74.37
16,p,2972.23,207.48
17,p,118.37,40.91
18,p,465.53,83.41
19,p,439.61,78.15
20,p,6872.41,388.54
21,p,70.36,32.16
22,p,1516.28,203.74
23,p,663.32,101.65
24,p,122.09,42
25,p,543.87,103.68
26,p,60.14,28.98
27,p,2105.8,190.44
28,p,187.59,50.98
29,p,8029.17,330.93
30,p,156.3,46.91
33,p,970.21,118.23
34,p,3964.03,240.49
35,p,343.19,71.23
36,p,100.59,38.07
37,p,523.76,84.29
38,p,286.98,61.85
39,p,233.47,56.27
40,p,825.47,135.66
41,p,265.59,62.72
42,p,778.75,100.92
43,p,606.39,98.62
44,p,708.71,111.99
45,p,218,53.84
47,p,92.78,36.24
48,p,124.97,41.35
49,p,3558.45,224.36
50,p,454.71,84.32
51,p,122.4,42.08
52,p,269.39,60.12
53,p,906.98,133.84
55,p,2082.48,199.88
56,p,3299.97,244.45
58,p,177.82,48.92
60,p,128.75,41.5
61,p,101.87,39.62
62,p,2035.47,163.53
63,p,144.72,44.62
64,p,3872.33,226.69
65,p,294.65,64.41
66,p,441.68,77.38
67,p,263,63.15
68,p,184.24,52.75
69,p,2590.6,233.08
70,p,281.06,61.6
71,p,148.52,44.65
72,p,178.97,50.82
74,p,393.57,73.47
75,p,377.8,71.7
76,p,1129.72,137.19
77,p,1438.39,156.77
78,p,809.16,120.22
79,p,741.89,100.7
80,p,465.82,83.97
81,p,290.04,63.51
84,p,137.54,45.51
85,p,141.75,43.48
86,p,149.46,46.11
87,p,2352.07,274.71
88,p,163.11,46.61
89,p,1905.98,238.09
90,p,109.74,39.5
91,p,1327.05,137.56
92,p,54.54,27.53
93,p,701.83,96.13
94,p,3244.41,213.15
95,p,717.66,98.77
96,p,291.1,65.23
97,p,109.38,38.77
99,p,3570.93,237.24
100,p,99.06,37.45
