fishID,Common.Ident,Genus,Species,LifeHistory,Piscivore_Herbivore,DominatePreyGroup,SeagrassY_N,parrot_pred
77,Sergeantmajor,Abudefduf,saxatilis,Omnivore,NA,Planktivore,N,0
14,Bluetang,Acanthurus,coeruleus,Herbivore,Herb,Algea,Y,0
26,Doctorfish,Acanthurus,chirurgus,Herbivore,Herb,Algea,Y,0
57,Oceansurgeonfish,Acanthurus,bahanius,Herbivore,Herb,Algea,Y,0
29,EagleRay,Aetobatus,narinari,Carnivore,Invert,Invertebrates,N,0
30,Filefish,Aluterus,NA,Herbivore,Herb,Algea,NA,0
44,Hawkfish,Amblycirrhitus,pinos,Carnivore,NA,Planktivore,N,0
10,BlackMargate,Anisotremus,surinamensis,Carnivore,Invert,Invertebrates,N,0
63,Porkfish,Anisotremus,virginicus,Carnivore,Invert,Invertebrates,N,0
97,Trumpetfish,Aulostomus,maculatus,Carnivore,Pisc,Fish,N,2
38,Graytrigger,Balistes,capriscus,Carnivore,Invert,Invertebrates,N,0
67,Queentrigger,Balistes ,vetula,Omnivore,Invert,Invertebrates,Y,0
87,Spanishhogfish,Bodianus,rufus,Carnivore,Invert,Invertebrates,N,2
62,Porgy,Calamus,NA,Carnivore,Invert,Invertebrates,N,0
58,Orangepottedfile,Cantherhines,pullus,Herbivore,Herb,Algea,Y,0
100,Whitespottedfile,Cantherhines,macrocerus,Herbivore,Herb,Algea,N,0
79,Sharpnosepuffer,Canthigaster,rostrata,Omnivore,Herb,Plants,Y,0
4,BarJack,Carangoides,ruber,Carnivore,Pisc,Fish,N,2
24,CrevalleJack,Carangoides,hippos,Carnivore,Pisc,Fish,N,2
46,HorseeyedJack,Carangoides,latus,Carnivore,Pisc,Fish,N,2
22,Coney,Cephalopholis,fulvus,Carnivore,Pisc,Fish,N,2
36,Graysby,Cephalopholis,cruentata,Carnivore,Pisc,Fish,N,2
3,Bandedbff,Chaetodon,striatus,Omnivore,Invert,Invertebrates,N,0
31,Foureyebff,Chaetodon,capistratus,Omnivore,Invert,Invertebrates,N,0
72,Reefbff,Chaetodon,sedentarius,Omnivore,Invert,Invertebrates,N,0
88,Spotfishbff,Chaetodon,ocellatus,Omnivore,Invert,Invertebrates,N,0
11,Bluechromis,Chromis,cyanea,Omnivore,NA,Planktivore,N,0
15,Brownchromis,Chromis,mulitilineata,Omnivore,NA,Planktivore,N,0
23,Creolewrasse,Clepticus,parrae,Omnivore,NA,Planktivore,N,0
85,SouthernRay,Dasyatis,americana,Carnivore,NA,Fish,N,2
2,Ballon,Diodon,holocanthus,Carnivore,Invert,Invertebrates,N,0
61,Porcupine,Diodon,hystrix,Carnivore,Invert,Invertebrates,N,0
56,NassauGrouper,Epinephelus,striatus,Carnivore,Pisc,Fish,N,2
70,RedHind ,Epinephelus,guttatus,Carnivore,Pisc,Fish,N,2
73,RockHind,Epinephelus,adscensionis,Carnivore,Pisc,Fish,N,2
53,Mohara,Gerres,cinereus,Carnivore,Invert,Invertebrates,N,0
13,Bluestriped,Haemulon,sciurus,Carnivore,Invert,Invertebrates,N,2
17,CaesarGrunt,Haemulon,carbonarium,Carnivore,Invert,Invertebrates,N,0
33,FrenchGrunt,Haemulon,flavolineatum,Carnivore,Invert,Invertebrates,N,0
74,SailersChoice,Haemulon,parra,Carnivore,Invert,Invertebrates,N,0
82,SmallmouthGrunt,Haemulon,chrysargyreum,Carnivore,Invert,Invertebrates,N,0
86,SpanishGrunt,Haemulon,macrostomum,Carnivore,Invert,Invertebrates,N,0
92,StripedGrunt,Haemulon,striatum,Carnivore,Invert,Invertebrates,N,0
99,WhiteGrunt,Haemulon,plumieri,Carnivore,Invert,Invertebrates,N,2
20,Clownwrasses,Halichoeres,maculipinna,Carnivore,Invert,Invertebrates,N,0
65,Puddingwife,Halichoeres,radiatus,Omnivore,Invert,Invertebrates,N,0
81,Slipperydick,Halichoeres,bivittatus,Carnivore,Invert,Invertebrates,N,0
103,Yellowhead,Halichoeres,garnoti,Omnivore,Invert,Invertebrates,N,0
90,Squirrelfish,Holocentrus,NA,Carnivore,Invert,Invertebrates,N,0
42,Hamlets,Hypoplectrus,NA,Carnivore,Pisc,Fish,N,2
19,Chubs,Kyposus,NA,Herbivore,Herb,Algea,Y,0
45,Hogfish,Lachnolaimus,maximus,Carnivore,Invert,Invertebrates,N,2
83,SmoothTrunkfish,Lactophrys,NA,Omnivore,Invert,Invertebrates,Y,0
98,Trunkfish,Lactophrys,NA,Omnivore,Invert,Invertebrates,Y,0
27,Dogsnapper,Lutjanus,jocu,Carnivore,Pisc,Fish,N,2
37,Graysnapper,Lutjanus,griseus,Carnivore,Pisc,Fish,N,2
51,MahoganySnapper,Lutjanus,mahogoni,Carnivore,Pisc,Fish,N,2
55,Muttonsnapper,Lutjanus,analis,Carnivore,Pisc,Fish,N,2
76,Schoolmaster,Lutjanus,apodus,Carnivore,Pisc,Fish,N,2
84,Snappers_Unident,Lutjanus,NA,Carnivore,Pisc,Fish,N,2
75,Sandtilefish,Malacanthus,plumieri,Carnivore,Invert,Invertebrates,N,2
95,Tarpon,Megalops,atlanticus,Carnivore,Pisc,Fish,N,2
9,Blackdurgon,Melicthys,niger,Herbivore,Herb,Algea,N,0
105,Yellowtaildamsel,Microspathodon,chrysurus,Omnivore,Herb,Algea,N,0
54,Mullets,Mugil,NA,Herbivore,Herb,Plants,Y,0
102,Yellowgoatfish,Mulloidichthys ,martinicus,Carnivore,Invert,Invertebrates,N,0
34,GagGrouper,Mycteroperca,microlepis,Carnivore,Pisc,Fish,N,2
1,Angelfishes_Unident,NA,NA,Herbivore,Herb,Sponges,N,0
16,Butterflyfish_Unident,NA,NA,Omnivore,Invert,Invertebrates,N,0
25,DamselfishesandChromis_Unident,NA,NA,Omnivore,NA,NA,NA,0
35,Goatfishes_Unident,NA,NA,Carnivore,Invert,Invertebrates,N,0
41,Grunts_Unident,NA,NA,Carnivore,Invert,Invertebrates,N,0
48,JuvenilleParrot_Unident,NA,NA,Herbivore,Herb,Plants,Y,1
59,Parrotfish_Unident,NA,NA,Herbivore,Herb,Plants,Y,1
66,PuffersTriggersFilefish_Unident,NA,NA,NA,NA,NA,NA,0
78,Serranids_Unident,NA,NA,Carnivore,Pisc,Fish,N,2
80,Silvery_Unident,NA,NA,NA,NA,NA,NA,0
94,Surgeonfish_Unident,NA,NA,Herbivore,Herb,Algea,Y,0
101,Wrasses_Unident,NA,NA,NA,NA,NA,N,0
107,Yellowtailsnapper,Ocyurus,chrysurus,Carnivore,Invert,Invertebrates,N,2
32,FrenchAngel,Pomacanthus ,paru,Herbivore,Herb,Sponges,N,0
40,GreyAngel,Pomacanthus ,arcuatus,Herbivore,Herb,Sponges,N,0
50,LongsnoutBFF,Prognathodes,aculeatus,Omnivore,Invert,Invertebrates,N,0
89,Spottedgoatfish,Pseudupeneus,maculatus,Carnivore,Invert,Invertebrates,N,0
49,Lionfish,Pterois,volitans,Carnivore,Pisc,Fish,N,2
52,MidnightParrot,Scarus,coelestinus,Herbivore,Herb,Plants,Y,1
64,PrincessParrot,Scarus,taeniopterus,Herbivore,Herb,Plants,Y,1
