Record.Num	Patch.CT	Patch.Num	UniquePatch.num	TransectColor	Clip.Label	Distance	Clip.AB	AreaBefore	AreaAfter	BiteYN	BiteYN.Corrected
1	Belize	1	1	Blue	0a	0	a	NA	NA	NA	NA
2	Belize	1	1	Blue	0b	0	b	NA	NA	NA	NA
3	Belize	1	1	Blue	2a	2	a	10.239	10.236	n	N
4	Belize	1	1	Blue	2b	2	b	9.441	6.893	y	Y
5	Belize	1	1	Blue	4a	4	a	8.61	7.556	y	Y
6	Belize	1	1	Blue	4b	4	b	6.567	6.309	n	N
7	Belize	1	1	Blue	6a	6	a	8.836	4.692	y	Y
8	Belize	1	1	Blue	6b	6	b	9.542	7.583	y	Y
9	Belize	1	1	Blue	8a	8	a	7.305	7.591	n	N
10	Belize	1	1	Blue	8b	8	b	7.091	6.942	n	N
11	Belize	1	1	Blue	10a	10	a	9.392	9.922	n	N
12	Belize	1	1	Blue	10b	10	b	10.736	10.338	n	N
13	Belize	1	1	Blue	12a	12	a	9.133	9.318	n	N
14	Belize	1	1	Blue	12b	12	b	7.719	7.682	n	N
15	Belize	1	1	Blue	14a	14	a	12.211	7.562	y	Y
16	Belize	1	1	Blue	14b	14	b	8.805	8.514	n	N
17	Belize	1	1	Blue	16a	16	a	9.715	9.487	n	N
18	Belize	1	1	Blue	16b	16	b	11.864	10.289	y	Y
19	Belize	1	1	Blue	18a	18	a	9.389	9.397	n	N
20	Belize	1	1	Blue	18b	18	b	8.81	8.506	n	N
21	Belize	1	1	Blue	20a	20	a	8.931	9.438	y	Y
22	Belize	1	1	Blue	20b	20	b	10.69	8.643	y	Y
23	Belize	1	1	Pink	0a	0	a	NA	NA	NA	NA
24	Belize	1	1	Pink	0b	0	b	NA	NA	NA	NA
25	Belize	1	1	Pink	2a	2	a	10.56	7.916	Y	Y
26	Belize	1	1	Pink	2b	2	b	10.861	7.949	Y	Y
27	Belize	1	1	Pink	4a	4	a	7.429	1.871	Y	Y
28	Belize	1	1	Pink	4b	4	b	8.873	7.949	N	N
29	Belize	1	1	Pink	6a	6	a	7.375	6.578	N	N
30	Belize	1	1	Pink	6b	6	b	10.368	9.897	N	N
31	Belize	1	1	Pink	8a	8	a	7.322	7.033	N	N
32	Belize	1	1	Pink	8b	8	b	12.074	9.296	Y	Y
33	Belize	1	1	Pink	10a	10	a	9.003	8.768	N	N
34	Belize	1	1	Pink	10b	10	b	8.556	8.813	N	N
35	Belize	1	1	Pink	12a	12	a	12.061	11.609	N	N
36	Belize	1	1	Pink	12b	12	b	14.273	8.006	Y	Y
37	Belize	1	1	Pink	14a	14	a	10.442	10.505	N	N
38	Belize	1	1	Pink	14b	14	b	13.349	12.237	N	N
39	Belize	1	1	Pink	16a	16	a	7.383	NA	N	N
40	Belize	1	1	Pink	16b	16	b	6.793	NA	N	N
41	Belize	1	1	Pink	18a	18	a	13.163	NA	N	N
42	Belize	1	1	Pink	18b	18	b	10.589	NA	N	N
43	Belize	1	1	Pink	20a	20	a	8.155	NA	N	N
44	Belize	1	1	Pink	20b	20	b	9.808	NA	N	N
45	Belize	1	1	Orange	0a	0	a	NA	NA	NA	NA
46	Belize	1	1	Orange	0b	0	b	NA	NA	NA	NA
47	Belize	1	1	Orange	2a	2	a	7.778	2.187	y	Y
48	Belize	1	1	Orange	2b	2	b	9.556	8.133	y	Y
49	Belize	1	1	Orange	4a	4	a	9.452	7.477	y	Y
50	Belize	1	1	Orange	4b	4	b	9.778	9.915	n	N
51	Belize	1	1	Orange	6a	6	a	8.328	9.162	n	N
52	Belize	1	1	Orange	6b	6	b	9.557	9.79	n	N
53	Belize	1	1	Orange	8a	8	a	9.11	8.12	n	N
54	Belize	1	1	Orange	8b	8	b	12.518	13.135	n	N
55	Belize	1	1	Orange	10a	10	a	11.688	11.961	n	N
56	Belize	1	1	Orange	10b	10	b	12.601	9.807	y	Y
57	Belize	1	1	Orange	12a	12	a	13.041	9.38	y	Y
58	Belize	1	1	Orange	12b	12	b	12.105	12.277	n	N
59	Belize	1	1	Orange	14a	14	a	9.8	10.236	n	N
60	Belize	1	1	Orange	14b	14	b	8.369	8.291	n	N
61	Belize	1	1	Orange	16a	16	a	11.012	9.254	n	N
62	Belize	1	1	Orange	16b	16	b	7.708	6.835	n	N
63	Belize	1	1	Orange	18a	18	a	10.501	9.771	n	N
64	Belize	1	1	Orange	18b	18	b	10.396	9.886	n	N
65	Belize	1	1	Orange	20a	20	a	7.849	7.799	n	N
66	Belize	1	1	Orange	20b	20	b	7.643	7.519	n	N
67	Belize	2	2	Blue	0a	0	a	11.428	2.608	y	Y
68	Belize	2	2	Blue	0b	0	b	11.023	1.602	y	Y
69	Belize	2	2	Blue	2a	2	a	10.491	2.799	y	Y
70	Belize	2	2	Blue	2b	2	b	9.488	1.958	y	Y
71	Belize	2	2	Blue	4a	4	a	10.184	0.279	y	Y
72	Belize	2	2	Blue	4b	4	b	9.847	1.718	y	Y
73	Belize	2	2	Blue	6a	6	a	10.472	1.947	n	N
74	Belize	2	2	Blue	6b	6	b	9.699	9.87	lost	NA
75	Belize	2	2	Blue	8a	8	a	9.67	8.92	n	N
76	Belize	2	2	Blue	8b	8	b	9.105	8.412	n	N
77	Belize	2	2	Blue	10a	10	a	6.732	6.592	n	N
78	Belize	2	2	Blue	10b	10	b	10.885	11.079	n	N
79	Belize	2	2	Blue	12a	12	a	8.875	9.418	n	N
80	Belize	2	2	Blue	12b	12	b	9.605	9.36	n	N
81	Belize	2	2	Blue	14a	14	a	10.455	7.16	n	N
82	Belize	2	2	Blue	14b	14	b	9.795	10.799	n	N
83	Belize	2	2	Blue	16a	16	a	9.9	10.428	n	N
84	Belize	2	2	Blue	16b	16	b	10.217	10.529	n	N
85	Belize	2	2	Blue	18a	18	a	7.36	2.343	y	Y
