Species.Ident,Common.Ident,Genus,Species,LifeHistory,Piscivore_Herbivore,DominatePreyGroup,SeagrassY_N,parrot_pred
Serranids,Serranids_Unident,NA,NA,Carnivore,Pisc,Fish,N,2
Nassau Grouper (E. striatus),NassauGrouper,Epinephelus,striatus,Carnivore,Pisc,Fish,N,2
Graysby (C. cruentatus),Graysby,Cephalopholis,cruentata,Carnivore,Pisc,Fish,N,2
Red Hind (E. guttatus),RedHind ,Epinephelus,guttatus,Carnivore,Pisc,Fish,N,2
Rock Hind (E. adscensionis),RockHind,Epinephelus,adscensionis,Carnivore,Pisc,Fish,N,2
Coney (C. fulvus),Coney,Cephalopholis,fulvus,Carnivore,Pisc,Fish,N,2
Hamlets (Hypoplectrus spp),Hamlets,Hypoplectrus,NA,Carnivore,Pisc,Fish,N,2
Silvery,Silvery_Unident,NA,NA,NA,NA,NA,NA,0
Bar Jack (C. ruber),BarJack,Carangoides,ruber,Carnivore,Pisc,Fish,N,2
Horse-eyed jacks (C. latus),HorseeyedJack,Carangoides,latus,Carnivore,Pisc,Fish,N,2
Crevalle jack (C. hippos),CrevalleJack,Carangoides,hippos,Carnivore,Pisc,Fish,N,2
Permit (Trachinotus falcatus),Permit,Trachinotus ,falcatus,Carnivore,Pisc,Fish,N,2
Houndfish (Tylosurus crocodilus),Houndfish,Tylosurus,crocodilus,Carnivore,Pisc,Fish,N,2
Barracuda (Sphyraena barracuda),Barracuda,Sphyraena,barracuda,Carnivore,Pisc,Fish,N,2
Mullets (Mugil spp.),Mullets,Mugil,NA,Herbivore,Herb,Plants,Y,0
Chubs (Kyposus spp.),Chubs,Kyposus,NA,Herbivore,Herb,Algea,Y,0
Porgy (Calamus spp.),Porgy,Calamus,NA,Carnivore,Invert,Invertebrates,N,0
Surgeonfish,Surgeonfish_Unident,NA,NA,Herbivore,Herb,Algea,Y,0
Ocean surgeonfish (A. bahanius),Oceansurgeonfish,Acanthurus,bahanius,Herbivore,Herb,Algea,Y,0
Doctorfish (A. chirurgus),Doctorfish,Acanthurus,chirurgus,Herbivore,Herb,Algea,Y,0
Blue tang (A. coeruleus),Bluetang,Acanthurus,coeruleus,Herbivore,Herb,Algea,Y,0
Sandtile Fish ,Sandtilefish,Malacanthus,plumieri,Carnivore,Invert,Invertebrates,N,0
Squirrelfish (Holocentrus spp.),Squirrelfish,Holocentrus,NA,Carnivore,Invert,Invertebrates,N,0
Lionfish (Pterois volitans),Lionfish,Pterois,volitans,Carnivore,Pisc,Fish,N,2
Snappers,Snappers_Unident,Lutjanus,NA,Carnivore,Pisc,Fish,N,2
Mutton snapper (Lutjanus analis),Muttonsnapper,Lutjanus,analis,Carnivore,Pisc,Fish,N,2
Gray snapper (L. griseus),Graysnapper,Lutjanus,griseus,Carnivore,Pisc,Fish,N,2
Dog snapper (L. jocu),Dogsnapper,Lutjanus,jocu,Carnivore,Pisc,Fish,N,2
Schoolmaster (L. apodus),Schoolmaster,Lutjanus,apodus,Carnivore,Pisc,Fish,N,2
Yellowtail snapper (O.chrysurus),Yellowtailsnapper,Ocyurus,chrysurus,Carnivore,Pisc,Invertebrates,N,2
