Record.Num	Patch.Num	UniquePatch.Num	Patch.CT	Transect	Month	Day 	Year	Time	Heading	Visibility_ft	Observer	Species.Ident 	T1.10_15	T1.15_20	T1.20_25	T1.25_30	T1.30	T1_Unknown	T2.0_5	T2.5_10	T2.10_15	T2.15_20	T2.20_25	T2.25_30	T2.30	T2.Unknown	Notes
1	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Serranids															
2	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Nassau Grouper (E. striatus)															
3	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Graysby (C. cruentatus)								1							
4	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Red Hind (E. guttatus)															
5	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Rock Hind (E. adscensionis)															
6	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Coney (C. fulvus)															
7	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Hamlets (Hypoplectrus spp)															
8	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Silvery															
9	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Bar Jack (C. ruber)															
10	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Horse-eyed jacks (C. latus)															
11	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Crevalle jack (C. hippos)															
12	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Permit (Trachinotus falcatus)															
13	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Houndfish (Tylosurus crocodilus)															
14	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Barracuda (Sphyraena barracuda)															
15	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Mullets (Mugil spp.)															
16	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Chubs (Kyposus spp.)															
17	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Porgy (Calamus spp.)								1							
18	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Surgeonfish															
19	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Ocean surgeonfish (A. bahanius)								4							
20	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Doctorfish (A. chirurgus)															
21	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Blue tang (A. coeruleus)															
22	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Sandtile Fish 								1	3						
23	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Squirrelfish (Holocentrus spp.)															
24	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Lionfish (Pterois volitans)															
25	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Snappers															
26	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Mutton snapper (Lutjanus analis)															
27	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Gray snapper (L. griseus)															
28	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Dog snapper (L. jocu)															
29	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Schoolmaster (L. apodus)								13	2						
