Name,band,ID,Area,Perimeter,haloarea,haloperimeter,total_area,meanZ,minZ,maxZ,medianZ,countZ,dist_to_34m,dist_to_land,overlap_area,number_intersecting_patches
10b,Band_10.kml,Band_10.kml10b,4053,240,3508,320,7561,7.654545455,4.2,12.4,7.6,11,4927.482902,4018.854564,241031.3745,82
11b,Band_10.kml,Band_10.kml11b,178,49,428,90,606,7.18,4.2,10,7.3,10,5032.847293,3902.626062,235771.1189,78
12b,Band_10.kml,Band_10.kml12b,1809,157,3403,264,5212,7.18,4.2,10,7.3,10,5027.693258,3992.000007,248186.0032,84
13b,Band_10.kml,Band_10.kml13b,2150,172,2315,241,4465,8.436363636,4.8,13.1,8.2,11,4974.652405,4089.982039,243063.5504,84
14b,Band_10.kml,Band_10.kml14b,1478,142,3718,267,5196,8.738461538,4.2,13.1,8.2,13,4846.813801,4201.895277,245005.2398,85
15b,Band_10.kml,Band_10.kml15b,2562,194,4007,298,6569,8.738461538,4.2,13.1,8.2,13,4776.358285,4245.793356,260526.791,87
16b,Band_10.kml,Band_10.kml16b,8581,349,5363,435,13944,8.366666667,4.8,13.1,8.05,12,4951.997948,4123.827168,222328.8779,79
17b,Band_10.kml,Band_10.kml17b,4595,245,4192,342,8787,8.409090909,4.8,13.1,8.2,11,4968.458367,4118.87926,209668.3841,72
18b,Band_10.kml,Band_10.kml18b,883,109,1763,201,2646,8.409090909,4.8,13.1,8.2,11,4868.256382,4227.469844,208807.654,71
19b,Band_10.kml,Band_10.kml19b,845,115,1248,171,2093,8.409090909,4.8,13.1,8.2,11,4981.759555,4120.81236,208807.654,71
1b,Band_10.kml,Band_10.kml1b,341,78,617,117,958,2.555555556,0.1,6.7,0.9,9,9032.557519,610.3925877,46335.3875,24
20b,Band_10.kml,Band_10.kml20b,2091,167,3070,266,5161,8.409090909,4.8,13.1,8.2,11,4968.816184,4154.96452,216836.5233,74
21b,Band_10.kml,Band_10.kml21b,971,114,1990,199,2961,8.33,4.8,13.1,8.2,10,4898.87246,4260.026016,216113.334,73
2b,Band_10.kml,Band_10.kml2b,216,58,522,100,738,2.728571429,0.3,6.4,1.95,14,9148.961143,875.5743376,40676.64008,4
3b,Band_10.kml,Band_10.kml3b,861,140,1682,190,2543,2.13,0.3,4.8,2.1,10,9407.416775,1023.184337,3918.0482,3
4b,Band_10.kml,Band_10.kml4b,763,100,1021,155,1784,2.345454545,0.3,4.8,2.4,11,9233.039038,1127.158114,22884.98332,5
5b,Band_10.kml,Band_10.kml5b,583,97,2841,216,3424,7.933333333,4.2,13.7,7.6,12,4269.901212,4299.318212,153640.8909,42
6b,Band_10.kml,Band_10.kml6b,1032,139,3982,265,5014,7.36,4.2,12.4,7.6,10,4479.563313,4107.428263,159517.147,46
7b,Band_10.kml,Band_10.kml7b,1093,122,1161,175,2254,7.525,4.2,12.4,7.45,12,4734.323462,3920.441902,167937.2832,50
8b,Band_10.kml,Band_10.kml8b,589,98,522,129,1111,7.827272727,4.2,12.4,7.6,11,4957.623849,3742.925083,154239.6738,52
9b,Band_10.kml,Band_10.kml9b,3697,229,3557,334,7254,8.1,4.2,13.1,7.6,11,4555.259756,4167.239144,213631.0092,60
10b,Band_11.kml,Band_11.kml10b,2260,179,1258,248,3518,7.409090909,5.4,9.4,7.6,11,5535.560957,4643.558714,61299.56476,25
11b,Band_11.kml,Band_11.kml11b,361,73,522,109,883,6.7,5.4,7.6,6.7,10,6110.540233,4046.22181,36478.01075,18
12b,Band_11.kml,Band_11.kml12b,257,63,431,102,688,6.7,5.4,7.6,6.7,10,6222.804315,4002.108547,34304.36433,16
13b,Band_11.kml,Band_11.kml13b,418,78,547,119,965,6.64,5.4,7.6,6.7,10,6228.252768,4079.374267,33016.90006,15
14b,Band_11.kml,Band_11.kml14b,907,116,1276,176,2183,6.866666667,6,8.8,6.7,9,6149.961847,4189.335662,27195.37544,11
15b,Band_11.kml,Band_11.kml15b,830,107,960,157,1790,7.12,5.4,9.4,7,10,5814.181492,4357.996056,52175.06339,19
16b,Band_11.kml,Band_11.kml16b,386,76,456,110,842,7,5.4,9.4,6.7,11,5856.055543,4270.423632,29941.77435,11
17b,Band_11.kml,Band_11.kml17b,533,88,743,133,1276,7.35,5.4,8.8,7.9,8,5398.21358,3396.370688,81135.3391,30
18b,Band_11.kml,Band_11.kml18b,1160,123,5827,314,6987,8.841666667,5.4,13.7,8.35,12,4900.611859,3520.776506,94973.09766,38
19b,Band_11.kml,Band_11.kml19b,2291,180,2903,274,5194,8.46,5.4,13.7,7.9,10,4859.853622,3515.212975,110287.8591,34
1b,Band_11.kml,Band_11.kml1b,221,60,572,104,793,2,0.1,7,2.1,13,9336.703761,834.4508644,33343.18055,15
20b,Band_11.kml,Band_11.kml20b,1082,119,2216,207,3298,8.907692308,4.8,14,8.5,13,4489.078934,3952.256124,251937.1972,58
21b,Band_11.kml,Band_11.kml21b,1566,147,3817,263,5383,9.135714286,4.8,14.3,9.1,14,4491.039398,4002.147082,249839.4171,61
22b,Band_11.kml,Band_11.kml22b,583,87,1028,148,1611,8.384615385,4.8,12.8,8.5,13,4675.119011,3827.891378,253135.7643,61
23b,Band_11.kml,Band_11.kml23b,2212,192,2936,275,5148,8.384615385,4.8,12.8,8.5,13,4673.522971,3839.64483,253135.7643,61
2b,Band_11.kml,Band_11.kml2b,570,92,662,129,1232,2.884615385,0.3,7,2.1,13,9255.189085,988.1704116,33343.18055,15
3b,Band_11.kml,Band_11.kml3b,1595,203,1833,227,3428,2.884615385,0.3,7,2.1,13,9295.397759,989.3773943,33343.18055,15
4b,Band_11.kml,Band_11.kml4b,496,84,637,126,1133,2.738461538,0.3,7,2.1,13,9028.884344,1279.408131,28138.49229,13
5b,Band_11.kml,Band_11.kml5b,495,82,658,124,1153,3.042857143,0.3,7,2.1,14,9024.169693,1283.694246,32729.74227,14
6b,Band_11.kml,Band_11.kml6b,6363,292,8355,447,14718,5.133333333,3.3,6.4,5.25,12,8227.581191,2383.050295,8916.54348,2
7b,Band_11.kml,Band_11.kml7b,831,109,2501,214,3332,6.7,4.8,8.2,6.85,10,5740.67499,3665.685223,152682.3723,64
8b,Band_11.kml,Band_11.kml8b,1188,130,1738,195,2926,7.225,5.4,9.4,7.3,12,5688.272426,4281.344514,89982.26446,31
9b,Band_11.kml,Band_11.kml9b,4954,258,2767,319,7721,7.409090909,5.4,9.4,7.6,11,5445.513511,4764.882964,66127.95635,25
1b,Band_12.kml,Band_12.kml1b,1166,139,2819,258,3985,5.281818182,2.1,8.5,4.8,11,7106.105174,1658.797146,19196.24288,6
2b,Band_12.kml,Band_12.kml2b,2230,171,3899,286,6129,4.433333333,0.6,8.5,4.8,15,7189.061701,1210.443945,19611.17473,4
3b,Band_12.kml,Band_12.kml3b,291,62,5686,285,5977,6.4,0.3,8.5,8.2,10,6558.265172,1956.191362,49159.63475,20
4b,Band_12.kml,Band_12.kml4b,1510,143,7015,340,8525,6.744444444,0.6,8.5,8.2,9,6503.601788,2127.798955,54266.40304,14
5b,Band_12.kml,Band_12.kml5b,5990,297,8551,449,14541,8.5,8.2,9.4,8.2,9,6165.217759,2453.52033,49830.10191,15
6b,Band_12.kml,Band_12.kml6b,2345,182,4667,307,7012,8.245454545,5.7,9.4,8.2,11,5812.605628,2791.161541,96609.01036,33
7b,Band_12.kml,Band_12.kml7b,777,108,4932,273,5709,8.6125,7.6,9.4,8.5,8,6194.435759,2349.155097,35879.02471,7
1b,Band_13.kml,Band_13.kml1b,1210,135,1759,201,2969,1.683333333,0.3,7.3,1.05,12,7856.170094,691.4609298,16049.76015,6
2b,Band_13.kml,Band_13.kml2b,128,44,782,112,910,2.184615385,0.3,8.2,1.2,13,7695.920627,833.5194305,18445.2922,7
3b,Band_13.kml,Band_13.kml3b,1583,146,2214,232,3797,2.555555556,0.3,7.6,1.5,9,7641.931612,1019.904504,12474.55511,5
1b,Band_15.kml,Band_15.kml1b,2010,176,3867,287,5877,7.509090909,4.8,12.4,7.3,11,4629.386333,3034.798011,104859.9125,31
2b,Band_15.kml,Band_15.kml2b,8283,378,6534,459,14817,7.333333333,4.8,10.3,7.3,9,4543.050564,2984.265508,112780.2028,35
3b,Band_15.kml,Band_15.kml3b,3039,223,6899,397,9938,7.766666667,5.4,10.3,7.6,6,4370.793555,2874.143793,121956.4998,37
10b,Band_17.kml,Band_17.kml10b,939,111,1732,189,2671,6.133333333,2.4,11.8,6.55,12,5076.879568,2636.154383,93143.01549,36
11b,Band_17.kml,Band_17.kml11b,413,75,2341,193,2754,5.94,2.4,9.1,6.55,10,5070.570489,2596.888738,92117.32703,35
12b,Band_17.kml,Band_17.kml12b,1315,138,2243,221,3558,5.809090909,2.4,9.1,6.4,11,5154.206233,2517.948095,92117.32703,35
13b,Band_17.kml,Band_17.kml13b,4804,267,14039,495,18843,7.2,3.3,10.9,7.45,8,4656.636428,2964.717655,97901.67175,33
14b,Band_17.kml,Band_17.kml14b,5335,268,8627,431,13962,9.228571429,6.4,11.5,9.1,7,4363.95344,3279.49294,68499.4053,20
15b,Band_17.kml,Band_17.kml15b,1069,123,5207,299,6276,8.571428571,4.5,11.5,8.5,7,4579.267585,3069.669672,54249.28719,19
1b,Band_17.kml,Band_17.kml1b,410,74,1499,160,1909,5.093333333,1.8,10.6,4.8,15,5354.188518,2991.051064,137270.2151,38
2b,Band_17.kml,Band_17.kml2b,17279,542,8166,630,25445,5.36,1.8,11.8,5.4,15,5228.426988,2906.989128,126230.2859,42
3b,Band_17.kml,Band_17.kml3b,672,97,1276,159,1948,4.942857143,1.8,9.1,4.8,14,5289.983657,2797.439804,127955.2475,39
4b,Band_17.kml,Band_17.kml4b,1263,130,2170,218,3433,5.657142857,2.1,11.8,5.7,14,5209.406879,2855.453876,124006.9618,37
5b,Band_17.kml,Band_17.kml5b,1496,141,636,168,2132,4.614285714,1.8,8.5,4.35,14,5498.93833,2629.094541,123935.1705,39
6b,Band_17.kml,Band_17.kml6b,859,121,845,160,1704,4.614285714,1.8,8.5,4.35,14,5498.32531,2593.208837,128599.6793,40
7b,Band_17.kml,Band_17.kml7b,965,113,1372,174,2337,5.838461538,2.4,11.8,4.5,13,5328.447232,2543.352437,94542.59184,36
8b,Band_17.kml,Band_17.kml8b,531,85,2075,186,2606,5.838461538,2.4,11.8,4.5,13,5267.821342,2569.930129,94542.59184,36
9b,Band_17.kml,Band_17.kml9b,532,90,1415,173,1947,5.166666667,2.4,9.1,4.5,12,5378.306635,2384.157878,92461.1578,35
1b,Band_18.kml,Band_18.kml1b,9378,381,9998,520,19376,5.9,2.7,10.6,4.8,15,3342.222635,5547.568181,145994.2846,24
2b,Band_18.kml,Band_18.kml2b,8103,354,4274,420,12377,6.978571429,3.3,11.2,7.15,14,3523.402193,5441.6701,205929.7044,43
3b,Band_18.kml,Band_18.kml3b,7652,337,5804,444,13456,6.871428571,3.3,11.2,7.15,14,3431.354495,5592.776772,171580.9354,38
4b,Band_18.kml,Band_18.kml4b,2138,183,3796,287,5934,8.18,4.8,11.2,8.2,10,3203.055628,6043.738148,126811.5915,27
1b,Band_19.kml,Band_19.kml1b,3119,222,4165,325,7284,5.55,1.5,8.2,4.8,14,5371.382291,3667.708684,129397.475,31
2b,Band_19.kml,Band_19.kml2b,631,112,3140,229,3771,5.6875,1.5,11.2,4.95,16,5027.266891,4308.226093,145220.3964,51
3b,Band_19.kml,Band_19.kml3b,1060,122,2086,211,3146,5.505555556,1.5,11.2,4.95,18,4926.808976,4361.900154,217671.1285,61
4b,Band_19.kml,Band_19.kml4b,913,119,1713,186,2626,5.56,1.5,11.2,5.1,15,4786.887278,4436.592611,219609.989,63
5b,Band_19.kml,Band_19.kml5b,6596,301,8453,445,15049,6.657142857,1.5,11.2,7.3,14,4328.476112,4808.746965,220400.6719,60
6b,Band_19.kml,Band_19.kml6b,1690,148,5399,304,7089,6.053333333,1.5,10.3,7,15,4621.566385,4520.334836,195402.0491,57
7b,Band_19.kml,Band_19.kml7b,1242,128,1966,209,3208,5.586666667,1.5,10.3,5.7,15,5098.585304,4025.250405,188603.4907,50
1b,Band_20.kml,Band_20.kml1b,4613,313,3638,395,8251,6,4.5,7.3,5.85,8,6451.663047,2597.178518,1605.09298,3
2b,Band_20.kml,Band_20.kml2b,1218,139,1434,188,2652,7.911111111,2.4,10,8.5,9,5089.947548,3417.396937,71644.82851,13
3b,Band_20.kml,Band_20.kml3b,634,104,1607,198,2241,7.911111111,2.4,10,8.5,9,5146.061163,3360.898621,71644.82851,13
1b,Band_21.kml,Band_21.kml1b,126,41,58,50,184,1.892857143,0.1,4.5,1.65,14,8638.184161,393.3112893,11618.94613,1
1b,Band_22.kml,Band_22.kml1b,55,30,680,104,735,3.55,1.5,4.5,3.9,12,8052.175644,1559.108176,,
10b,Band_24.kml,Band_24.kml10b,32,21,67,36,99,1.56,0.3,4.2,1.2,10,9103.458593,373.2164239,,
11b,Band_24.kml,Band_24.kml11b,32,21,32,29,64,1.445454545,0.3,4.2,1.2,11,9114.491592,365.6276569,,
12b,Band_24.kml,Band_24.kml12b,26,19,40,30,66,1.56,0.3,4.2,1.2,10,9058.05455,419.4827874,,
13b,Band_24.kml,Band_24.kml13b,15,14,21,22,36,1.56,0.3,4.2,1.2,10,9071.26608,405.5792235,,
14b,Band_24.kml,Band_24.kml14b,66,29,51,39,117,1.56,0.3,4.2,1.2,10,9072.049395,405.781594,,
15b,Band_24.kml,Band_24.kml15b,81,33,152,56,233,1.581818182,0.3,4.2,1.2,11,9101.333309,363.3393463,,
16b,Band_24.kml,Band_24.kml16b,48,25,46,35,94,1.581818182,0.3,4.2,1.2,11,9101.125378,352.6844621,,
17b,Band_24.kml,Band_24.kml17b,29,19,62,34,91,1.56,0.3,4.2,1.2,10,9046.14375,405.0507436,,
18b,Band_24.kml,Band_24.kml18b,105,37,133,57,238,1.581818182,0.3,4.2,1.2,11,9176.415469,286.121962,,
19b,Band_24.kml,Band_24.kml19b,68,30,102,48,170,1.581818182,0.3,4.2,1.2,11,9174.288029,299.759642,,
1b,Band_24.kml,Band_24.kml1b,42,23,45,34,87,1.5,0.3,4.2,1.2,10,9135.000091,372.1187408,,
20b,Band_24.kml,Band_24.kml20b,165,47,224,74,389,1.581818182,0.3,4.2,1.2,11,9150.234475,300.2127729,,
21b,Band_24.kml,Band_24.kml21b,32,20,15,25,47,1.525,0.3,2.7,1.5,12,9123.640703,350.7444881,,
2b,Band_24.kml,Band_24.kml2b,78,34,130,54,208,1.5,0.3,4.2,1.2,10,9118.236425,377.1271325,,
3b,Band_24.kml,Band_24.kml3b,41,24,66,38,107,1.5,0.3,4.2,1.2,10,9099.857269,398.1659432,,
4b,Band_24.kml,Band_24.kml4b,68,31,95,46,163,1.5,0.3,4.2,1.2,10,9108.651034,381.2103908,,
5b,Band_24.kml,Band_24.kml5b,17,15,81,37,98,1.625,0.3,4.2,1.65,12,9127.213085,377.5075119,,
6b,Band_24.kml,Band_24.kml6b,25,18,60,34,85,1.581818182,0.3,4.2,1.2,11,9088.778432,415.9226075,,
7b,Band_24.kml,Band_24.kml7b,44,24,120,47,164,1.575,0.3,4.2,1.5,12,9275.937145,228.8320477,,
8b,Band_24.kml,Band_24.kml8b,71,31,41,38,112,1.523076923,0.3,4.2,1.2,13,9234.893394,257.9961366,,
9b,Band_24.kml,Band_24.kml9b,152,45,197,69,349,1.581818182,0.3,4.2,1.2,11,9174.829207,301.8496963,,
10b,Band_25.kml,Band_25.kml10b,19,16,22,24,41,1.7,0.1,3.9,1.8,17,7590.015692,2413.82008,,
